router_ip,ups_ip
10.128.95.31,10.131.93.190
10.128.96.55,10.131.95.42
10.128.95.35,10.131.93.206
10.128.96.52,10.131.95.30
10.128.95.7,10.131.93.94
10.128.95.47,10.131.93.254
10.128.95.41,10.131.93.230
10.128.95.62,10.131.94.58
10.128.96.71,10.131.95.106
10.128.96.38,10.131.94.230
10.128.95.12,10.131.93.114
10.128.95.6,10.131.93.90
10.128.96.4,10.131.94.94
10.128.96.26,10.131.94.182
10.128.96.34,10.131.94.214
10.128.95.25,10.131.93.166
10.128.0.86,10.131.1.86
10.128.95.33,10.131.93.198
10.128.95.24,10.131.93.162
10.128.96.12,10.131.94.126
10.128.95.28,10.131.93.178
10.128.95.66,10.131.94.74
10.128.96.22,10.131.94.166
10.128.95.9,10.131.93.102
10.128.96.56,10.131.95.46
10.128.96.28,10.131.94.190
10.128.96.31,10.131.94.202
10.128.95.49,10.131.94.6
10.128.95.22,10.131.93.154
10.128.95.55,10.131.94.30
10.128.96.5,10.131.94.98
10.128.95.15,10.131.93.126
10.128.96.64,10.131.95.78
10.128.95.4,10.131.93.82
10.128.95.14,10.131.93.122
10.128.95.17,10.131.93.134
10.128.95.32,10.131.93.194
10.128.96.81,10.131.101.174
10.128.96.30,10.131.94.198
10.128.95.16,10.131.93.130
10.128.95.34,10.131.93.202
10.128.96.24,10.131.94.174
10.128.96.25,10.131.94.178
10.128.95.48,10.131.94.2
10.128.95.36,10.131.93.210
10.128.95.26,10.131.93.170
10.128.95.54,10.131.94.26
10.128.96.36,10.131.94.222
10.128.95.38,10.131.93.218
10.128.95.2,10.131.93.74
10.128.96.75,10.131.95.122
10.128.95.37,10.131.93.214
10.128.95.61,10.131.94.54
10.128.96.41,10.131.94.242
10.128.96.84,10.131.94.254
10.128.96.44,10.131.94.254
10.128.95.43,10.131.93.238
10.128.95.65,10.131.94.70
10.128.95.63,10.131.94.62
10.128.95.50,10.131.94.10
10.128.96.15,10.131.94.138
10.128.96.74,10.131.95.118
10.128.95.58,10.131.94.42
10.128.95.21,10.131.93.150
10.128.95.10,10.131.93.106
10.128.96.60,10.131.95.62
10.128.95.23,10.131.93.158
10.128.95.44,10.131.93.242
10.128.0.87,10.131.101.186
10.128.95.19,10.131.93.142
10.128.95.40,10.131.93.226
10.128.95.45,10.131.93.246
10.128.96.6,10.131.94.102
10.128.95.67,10.131.94.78
10.128.96.87,10.131.101.198
10.128.95.30,10.131.93.186
10.128.95.51,10.131.94.14
10.128.95.18,10.131.93.138
10.128.96.23,10.131.94.170
10.128.96.8,10.131.94.110
10.128.95.27,10.131.93.174
10.128.95.42,10.131.93.234
10.128.95.56,10.131.94.34
10.128.95.20,10.131.93.146
