ip,devicetype
10.131.92.198,GP_UPS
10.131.101.158,GP_UPS
10.128.94.22,GP_ROUTER
10.131.93.6,GP_UPS
10.128.94.39,GP_ROUTER
10.131.101.162,GP_UPS
10.128.94.24,GP_ROUTER
10.131.93.14,GP_UPS
10.128.94.40,GP_ROUTER
10.131.101.166,GP_UPS
10.128.94.25,GP_ROUTER
10.131.93.18,GP_UPS
10.128.94.7,GP_ROUTER
10.131.92.202,GP_UPS
10.128.94.42,GP_ROUTER
10.131.109.122,GP_UPS
10.128.94.27,GP_ROUTER
10.131.93.26,GP_UPS
10.128.94.8,GP_ROUTER
10.131.92.206,GP_UPS
10.128.94.28,GP_ROUTER
10.128.94.43,GP_ROUTER
10.128.94.10,GP_ROUTER
10.131.109.126,GP_UPS
10.131.92.214,GP_UPS
10.131.93.30,GP_UPS
10.128.94.11,GP_ROUTER
10.131.92.218,GP_UPS
10.128.94.41,GP_ROUTER
10.131.109.118,GP_UPS
10.128.11.1,GP_ROUTER
10.128.94.29,GP_ROUTER
10.131.93.34,GP_UPS
10.128.94.12,GP_ROUTER
10.131.92.222,GP_UPS
10.131.12.242,GP_UPS
10.128.94.13,GP_ROUTER
10.131.92.226,GP_UPS
10.128.11.2,GP_ROUTER
10.131.12.246,GP_UPS
10.128.11.3,GP_ROUTER
10.131.12.250,GP_UPS
10.128.11.5,GP_ROUTER
10.131.13.2,GP_UPS
10.128.11.7,GP_ROUTER
10.131.13.10,GP_UPS
10.128.11.20,GP_ROUTER
10.131.13.18,GP_UPS
10.128.11.9,GP_ROUTER
10.131.13.22,GP_UPS
10.128.11.10,GP_ROUTER
10.131.13.26,GP_UPS
10.128.11.11,GP_ROUTER
10.131.13.30,GP_UPS
10.128.11.12,GP_ROUTER
10.131.13.34,GP_UPS
10.128.11.13,GP_ROUTER
10.131.13.38,GP_UPS
10.128.11.14,GP_ROUTER
10.131.13.42,GP_UPS
10.128.11.15,GP_ROUTER
10.131.13.46,GP_UPS
10.128.11.16,GP_ROUTER
10.131.13.50,GP_UPS
10.128.11.17,GP_ROUTER
10.131.13.54,GP_UPS
10.128.11.18,GP_ROUTER
10.131.13.58,GP_UPS
10.128.11.19,GP_ROUTER
10.131.13.62,GP_UPS
10.128.11.21,GP_ROUTER
10.131.96.26,GP_UPS
10.128.11.22,GP_ROUTER
10.131.96.30,GP_UPS
10.128.11.23,GP_ROUTER
10.131.96.34,GP_UPS
10.128.11.24,GP_ROUTER
10.131.96.38,GP_UPS
10.128.11.6,GP_ROUTER
10.131.13.6,GP_UPS
10.128.0.11,BLOCK_ROUTER
10.131.0.42,BLOCK_UPS
10.128.92.14,GP_ROUTER
10.131.91.50,GP_UPS
10.128.92.29,GP_ROUTER
10.131.91.110,GP_UPS
10.128.92.15,GP_ROUTER
10.128.92.30,GP_ROUTER
10.131.91.54,GP_UPS
10.131.91.114,GP_UPS
10.128.92.31,GP_ROUTER
10.131.91.118,GP_UPS
10.128.92.16,GP_ROUTER
10.131.91.58,GP_UPS
10.128.92.32,GP_ROUTER
10.131.91.122,GP_UPS
10.128.92.17,GP_ROUTER
10.131.91.62,GP_UPS
10.128.92.33,GP_ROUTER
10.131.91.126,GP_UPS
10.128.92.42,GP_ROUTER
10.128.92.18,GP_ROUTER
10.131.91.162,GP_UPS
10.128.92.35,GP_ROUTER
10.131.91.66,GP_UPS
10.131.91.134,GP_UPS
10.128.92.36,GP_ROUTER
10.131.91.138,GP_UPS
10.128.92.20,GP_ROUTER
10.131.91.74,GP_UPS
10.128.92.43,GP_ROUTER
10.128.92.37,GP_ROUTER
