id,ip,systemname,pingStatus,snmpStatus,devicetype,location,firstDiscovery,lastDiscovery,operatingsystem,physicalAddr,vendor,profile_name,acronym,request_id,dept,deviceloc,state,logtime,serial_no,locationText,sourceOfPower,dashboardcat,enable,mfm
1445,10.131.53.38,"""BNC-KAN-KEKL-UKHALE1""",UNREACHABLE,DISABLED,GP_UPS,681,2024-09-28 15:36:26,,,,UNILINE,UPSProfile,,,,,DOWN,2024-10-23 05:29:49,,Cluster : C; District : Kondagaon;  Block : Keskal; GP : KHALEMURWEND,,GP_UPS,1,0
1446,10.131.53.234,,UNREACHABLE,DISABLED,GP_UPS,682,2024-09-28 15:36:37,,,,UNILINE,UPSProfile,,,,,DOWN,2024-09-28 15:36:37,,Cluster : C; District : Kondagaon;  Block : Makdi; GP : KAWRA,,GP_UPS,1,0
1447,10.128.54.6,,UNREACHABLE,DISABLED,GP_ROUTER,683,2024-09-28 15:37:43,,,,CISCO,GPRouterProfile,,,,,DOWN,2024-09-28 15:37:43,,Cluster : C; District : Kondagaon;  Block : Makdi; GP : BALOND,,GP_ROUTER,1,0
1448,10.131.53.154,,UNREACHABLE,DISABLED,GP_UPS,683,2024-09-28 15:38:06,,,,UNILINE,UPSProfile,,,,,DOWN,2024-09-28 15:38:06,,Cluster : C; District : Kondagaon;  Block : Makdi; GP : BALOND,,GP_UPS,1,0
1449,10.128.54.46,,UNREACHABLE,DISABLED,GP_ROUTER,684,2024-09-28 15:38:45,,,,CISCO,GPRouterProfile,,,,,DOWN,2024-09-28 15:38:45,,Cluster : C; District : Kondagaon;  Block : Makdi; GP : TORANDI,,GP_ROUTER,1,0
1450,10.131.54.58,,UNREACHABLE,DISABLED,GP_UPS,684,2024-09-28 15:39:19,,,,UNILINE,UPSProfile,,,,,DOWN,2024-09-28 15:39:19,,Cluster : C; District : Kondagaon;  Block : Makdi; GP : TORANDI,,GP_UPS,1,0
1451,10.128.54.28,,UNREACHABLE,DISABLED,GP_ROUTER,685,2024-09-28 15:41:15,,,,CISCO,GPRouterProfile,,,,,DOWN,2024-10-07 16:56:10,,Cluster : C; District : Kondagaon;  Block : Makdi; GP : KOSHAHARDULI,,GP_ROUTER,1,0
1452,10.131.53.242,,UNREACHABLE,DISABLED,GP_UPS,685,2024-09-28 15:41:49,,,,UNILINE,UPSProfile,,,,,DOWN,2024-09-28 15:41:49,,Cluster : C; District : Kondagaon;  Block : Makdi; GP : KOSHAHARDULI,,GP_UPS,1,0
1453,10.128.54.47,,UNREACHABLE,DISABLED,GP_ROUTER,686,2024-09-28 15:42:57,,,,CISCO,GPRouterProfile,,,,,DOWN,2024-09-28 15:42:57,,Cluster : C; District : Kondagaon;  Block : Makdi; GP : ULERA,,GP_ROUTER,1,0
1454,10.131.54.62,,UNREACHABLE,DISABLED,GP_UPS,686,2024-09-28 15:43:21,,,,UNILINE,UPSProfile,,,,,DOWN,2024-09-28 15:43:21,,Cluster : C; District : Kondagaon;  Block : Makdi; GP : ULERA,,GP_UPS,1,0
1455,10.128.54.7,,UNREACHABLE,DISABLED,GP_ROUTER,687,2024-09-28 15:44:58,,,,CISCO,GPRouterProfile,,,,,DOWN,2024-09-28 15:44:58,,Cluster : C; District : Kondagaon;  Block : Makdi; GP : BARKAI,,GP_ROUTER,1,0
1456,10.131.53.158,,UNREACHABLE,DISABLED,GP_UPS,687,2024-09-28 15:45:21,,,,UNILINE,UPSProfile,,,,,DOWN,2024-09-28 15:45:21,,Cluster : C; District : Kondagaon;  Block : Makdi; GP : BARKAI,,GP_UPS,1,0
1457,10.128.53.26,"""BNC-KAN-KEKL-GKODOB1.cgbharatnet.gov.in""",UNREACHABLE,DISABLED,GP_ROUTER,688,2024-09-28 15:45:22,,,,CISCO,GPRouterProfile,,,,,DOWN,2024-10-28 15:54:40,"""CAT2237U2HU""",Cluster : C; District : Kondagaon;  Block : Keskal; GP : KODOBHAT,,GP_ROUTER,1,0
1458,10.131.53.46,"""BNC-KAN-KEKL-UKODOB1""",UNREACHABLE,DISABLED,GP_UPS,688,2024-09-28 15:46:09,,,,UNILINE,UPSProfile,,,,,DOWN,2024-10-28 15:54:40,,Cluster : C; District : Kondagaon;  Block : Keskal; GP : KODOBHAT,,GP_UPS,1,0
1459,10.128.54.29,,UNREACHABLE,DISABLED,GP_ROUTER,689,2024-09-28 15:46:21,,,,CISCO,GPRouterProfile,,,,,DOWN,2024-09-28 15:46:21,,Cluster : C; District : Kondagaon;  Block : Makdi; GP : KURLUBAHAR,,GP_ROUTER,1,0
1460,10.131.53.246,,UNREACHABLE,DISABLED,GP_UPS,689,2024-09-28 15:47:10,,,,UNILINE,UPSProfile,,,,,DOWN,2024-09-28 15:47:10,,Cluster : C; District : Kondagaon;  Block : Makdi; GP : KURLUBAHAR,,GP_UPS,1,0
1461,10.128.54.48,,UNREACHABLE,DISABLED,GP_ROUTER,690,2024-09-28 15:47:15,,,,CISCO,GPRouterProfile,,,,,DOWN,2024-09-28 15:47:15,,Cluster : C; District : Kondagaon;  Block : Makdi; GP : UMARGAON,,GP_ROUTER,1,0
1462,10.131.54.66,,UNREACHABLE,DISABLED,GP_UPS,690,2024-09-28 15:48:29,,,,UNILINE,UPSProfile,,,,,DOWN,2024-09-28 15:48:29,,Cluster : C; District : Kondagaon;  Block : Makdi; GP : UMARGAON,,GP_UPS,1,0
1463,10.128.54.30,,UNREACHABLE,DISABLED,GP_ROUTER,691,2024-09-28 15:51:33,,,,CISCO,GPRouterProfile,,,,,DOWN,2024-09-28 15:51:33,,Cluster : C; District : Kondagaon;  Block : Makdi; GP : LABHA,,GP_ROUTER,1,0
1464,10.131.53.250,,UNREACHABLE,DISABLED,GP_UPS,691,2024-09-28 15:52:10,,,,UNILINE,UPSProfile,,,,,DOWN,2024-09-28 15:52:10,,Cluster : C; District : Kondagaon;  Block : Makdi; GP : LABHA,,GP_UPS,1,0
1465,10.128.53.27,,UNREACHABLE,DISABLED,GP_ROUTER,692,2024-09-28 15:53:52,,,,CISCO,GPRouterProfile,,,,,DOWN,2024-10-25 16:09:49,,Cluster : C; District : Kondagaon;  Block : Keskal; GP : KOHKAMETA,,GP_ROUTER,1,0
1466,10.128.10.70,,UNREACHABLE,DISABLED,GP_ROUTER,693,2024-09-28 15:54:03,,,,CISCO,GPRouterProfile,,,,,DOWN,2024-10-07 16:56:10,,Cluster : C; District : Kondagaon;  Block : Makdi; GP : CHHATODI,,GP_ROUTER,1,0
1467,10.131.53.50,,UNREACHABLE,DISABLED,GP_UPS,692,2024-09-28 15:54:29,,,,UNILINE,UPSProfile,,,,,DOWN,2024-09-28 15:54:29,,Cluster : C; District : Kondagaon;  Block : Keskal; GP : KOHKAMETA,,GP_UPS,1,0
1468,10.131.53.182,,UNREACHABLE,DISABLED,GP_UPS,693,2024-09-28 15:54:38,,,,UNILINE,UPSProfile,,,,,DOWN,2024-09-28 15:54:38,,Cluster : C; District : Kondagaon;  Block : Makdi; GP : CHHATODI,,GP_UPS,1,0
