id,physicalringname,lrname,aendname,bendname,distance,ibclink,priority,aendid,bendid,aendifIndex,bendifIndex,bendip,aendip,physicalsegments,remarks,confirmed,user_name,time_stamp,cluster_name,district_name,block_name
927,Jagdalpur_Orange,Ring no.03,KAIKAGARH CHERBAHAR,HATPADMUR,3.26,,Low,1301.0,1293.0,14,13,10.128.13.20,10.128.13.23,11978,,1,Shiva,2024-12-07 16:28:57,C,Bastar,Jagdalpur
928,Jagdalpur_Orange,Ring no.03,HATPADMUR,NANGUR,5.115,,Low,1293.0,1331.0,14,13,10.128.13.41,10.128.13.20,"11979,11980",,1,Shiva,2024-12-07 16:29:49,C,Bastar,Jagdalpur
929,Jagdalpur_Orange,Ring no.03,NANGUR,CHHOTEKAWALI,1.95,,Low,1331.0,1275.0,14,13,10.128.13.12,10.128.13.41,11981,,1,Shiva,2024-12-07 16:30:36,C,Bastar,Jagdalpur
930,Jagdalpur_Orange,Ring no.03,CHHOTEKAWALI,BIRANPAL,25.645,,Low,1275.0,1271.0,14,13,10.128.13.9,10.128.13.12,"11982,11983,11984,11986,11987,11988",,1,Shiva,2024-12-07 16:31:25,C,Bastar,Jagdalpur
931,Jagdalpur_Orange,Ring no.03,BIRANPAL,NIYANAR,20.415,,Medium,1271.0,1335.0,14,13,10.128.13.43,10.128.13.9,"11989,11990,11991,11992",,1,Shiva,2024-12-07 16:32:21,C,Bastar,Jagdalpur
932,Jagdalpur_Orange,Ring no.03,NIYANAR,Jagdalpur,13.97,,Medium,1335.0,1253.0,14,69,10.128.0.13,10.128.13.43,"11993,11994",,1,Shiva,2024-12-07 16:33:19,C,Bastar,Jagdalpur
933,Jagdalpur_Orange,Ring no.04,Jagdalpur,SADGUD,20.235,,Low,1253.0,1343.0,76,13,10.128.13.47,10.128.0.13,"11973,11974",,1,Shiva,2024-12-07 16:34:53,C,Bastar,Jagdalpur
934,Jagdalpur_Orange,Ring no.04,SADGUD,MANJHIGUDA,3.602,,Low,1343.0,1325.0,14,13,10.128.13.38,10.128.13.47,11985,,1,Shiva,2024-12-07 16:38:24,C,Bastar,Jagdalpur
935,Jagdalpur_Orange,Ring no.04,MANJHIGUDA,BADEMURMA,4.918,,Low,1325.0,1261.0,14,13,10.128.13.4,10.128.13.38,11986,,1,Shiva,2024-12-07 16:43:00,C,Bastar,Jagdalpur
936,Jagdalpur_Orange,Ring no.04,BADEMURMA,TONDAPAL,8.595,,Low,1261.0,1351.0,14,13,10.128.13.58,10.128.13.4,"11987,11988,11989",,1,Shiva,2024-12-07 16:43:59,C,Bastar,Jagdalpur
937,Jagdalpur_Orange,Ring no.04,TONDAPAL,JAMAWADA,4.385,,Medium,1351.0,1295.0,14,13,10.128.13.21,10.128.13.58,11990,,1,Shiva,2024-12-07 16:46:24,C,Bastar,Jagdalpur
938,Jagdalpur_Orange,Ring no.04,JAMAWADA,ULANAR,4.64,,Medium,1295.0,1357.0,14,13,10.128.13.53,10.128.13.21,11991,,1,Shiva,2024-12-07 16:47:18,C,Bastar,Jagdalpur
939,Jagdalpur_Orange,Ring no.04,ULANAR,Jagdalpur,23.355,,Medium,1357.0,1253.0,14,77,10.128.0.13,10.128.13.53,"11992,11993,11994",,1,Shiva,2024-12-07 16:48:38,C,Bastar,Jagdalpur
940,Jagdalpur_Orange,Ring no.05,Jagdalpur,SIDMUR,26.87,,Low,1253.0,1347.0,78,13,10.128.13.57,10.128.0.13,"11973,11974,11975,11976,11977,11978,11979",,1,Shiva,2024-12-07 16:49:32,C,Bastar,Jagdalpur
941,Jagdalpur_Orange,Ring no.05,SIDMUR,NETANAR,13.17,,Low,1347.0,1333.0,14,13,10.128.13.42,10.128.13.57,"11980,11981,11982",,1,Shiva,2024-12-07 16:50:46,C,Bastar,Jagdalpur
944,Jagdalpur_Orange,Ring no.05,KAKARWADA,SARGIPAL,29.077,,Low,1303.0,1345.0,14,13,10.128.13.49,10.128.13.24,"11988,11989,11990,11991,11992,11993",,1,Shiva,2024-12-07 16:53:40,C,Bastar,Jagdalpur
945,Jagdalpur_Orange,Ring no.05,SARGIPAL,Jagdalpur,10.038,,Medium,1345.0,1253.0,14,79,10.128.0.13,10.128.13.49,11994,,1,Shiva,2024-12-07 16:55:08,C,Bastar,Jagdalpur
946,Jagdalpur_Pink,Ring no.06,Jagdalpur,AADAWAL,1.77,,High,1253.0,1255.0,80,13,10.128.13.1,10.128.0.13,11996,,1,Shiva,2024-12-07 16:57:48,C,Bastar,Jagdalpur
947,Jagdalpur_Pink,Ring no.06,AADAWAL,AASNA,8.29,,High,1255.0,1257.0,14,13,10.128.13.2,10.128.13.1,11997,,1,Shiva,2024-12-07 16:58:39,C,Bastar,Jagdalpur
948,Jagdalpur_Pink,Ring no.06,AASNA,KALIPUR,7.245,,Low,1257.0,1307.0,14,13,10.128.13.27,10.128.13.2,11998,,1,Shiva,2024-12-07 16:59:44,C,Bastar,Jagdalpur
949,Jagdalpur_Pink,Ring no.06,KALIPUR,BALIKONTA,1.668,,Low,1307.0,1263.0,14,13,10.128.13.5,10.128.13.27,11999,,1,Shiva,2024-12-07 17:00:31,C,Bastar,Jagdalpur
950,Jagdalpur_Pink,Ring no.06,BALIKONTA,TITIRGAON,2.932,,Low,1263.0,1349.0,14,13,10.128.13.50,10.128.13.5,12000,,1,Shiva,2024-12-07 17:01:21,C,Bastar,Jagdalpur
951,Jagdalpur_Pink,Ring no.06,TITIRGAON,KUMHARAWAND,8.945,,Low,1349.0,1319.0,14,13,10.128.13.35,10.128.13.50,"12001,12002",,1,Shiva,2024-12-07 17:02:24,C,Bastar,Jagdalpur
952,Jagdalpur_Pink,Ring no.06,KUMHARAWAND,BIRINGPAL,7.666,,High,1319.0,1273.0,14,13,10.128.13.11,10.128.13.35,12003,,1,Shiva,2024-12-07 17:03:07,C,Bastar,Jagdalpur
953,Jagdalpur_Pink,Ring no.06,BIRINGPAL,PANDARIPANI,5.27,,High,1273.0,1337.0,14,13,10.128.13.44,10.128.13.11,12004,,1,Shiva,2024-12-07 17:03:50,C,Bastar,Jagdalpur
954,Jagdalpur_Pink,Ring no.06,PANDARIPANI,Jagdalpur,26.524,,High,1337.0,1253.0,14,81,10.128.0.13,10.128.13.44,"12005,12006,12007,12008,12009",,1,Shiva,2024-12-07 17:05:07,C,Bastar,Jagdalpur
955,Jagdalpur_Pink,Ring no.07,Jagdalpur,GHATPADAMUR,27.691,,Low,1253.0,1289.0,67,13,10.128.13.18,10.128.0.13,"11996,11997,11998,11999,12000,12001",,1,Shiva,2024-12-07 17:07:14,C,Bastar,Jagdalpur
956,Jagdalpur_Pink,Ring no.07,GHATPADAMUR,PARAPA,18.619,,Low,1289.0,1339.0,14,13,10.128.13.45,10.128.13.18,"12002,12003,12004,12005",,1,Shiva,2024-12-07 17:06:28,C,Bastar,Jagdalpur
957,Jagdalpur_Pink,Ring no.07,PARAPA,TUSEL,3.85,,High,1339.0,1355.0,14,13,10.128.13.52,10.128.13.45,12006,,1,Shiva,2024-12-07 17:07:58,C,Bastar,Jagdalpur
958,Jagdalpur_Pink,Ring no.07,TUSEL,JATAM,4.233,,High,1355.0,1297.0,14,13,10.128.13.22,10.128.13.52,12007,,1,Shiva,2024-12-07 17:08:44,C,Bastar,Jagdalpur
959,Jagdalpur_Pink,Ring no.07,JATAM,BILOURI,12.112,,High,1297.0,1269.0,14,13,10.128.13.8,10.128.13.22,12008,,1,Shiva,2024-12-07 17:09:22,C,Bastar,Jagdalpur
960,Jagdalpur_Pink,Ring no.07,BILOURI,Jagdalpur,3.845,,High,1269.0,1253.0,14,51,10.128.0.13,10.128.13.8,12009,,1,Shiva,2024-12-07 17:10:14,C,Bastar,Jagdalpur
961,Jagdalpur_Blue,Ring no.01Spur,NAGARNAR,BHEJAPADAR,3.77,,Low,1329.0,1267.0,2,1,10.128.13.7,10.128.13.40,11959,,1,Mukesh,2025-01-20 12:24:06,C,Bastar,Jagdalpur
962,Jagdalpur_Orange,Ring no.05Spur,NETANAR,KOLAWADA,3.91,,Low,1333.0,1315.0,1,1,10.128.13.33,10.128.13.42,11995,,1,Shiva,2024-12-07 16:55:58,C,Bastar,Jagdalpur
963,Keshkal_Blue,Ring no.01,Keskal,ADENGA,7.46,,Low,1369.0,1373.0,84,13,10.128.53.2,10.128.0.49,"12010,12011",,1,Shiva,2024-12-07 13:57:32,C,Kondagaon,Keskal
964,Keshkal_Blue,Ring no.01,ADENGA,PRADHANCHERRA,1.965,,Low,1373.0,1489.0,14,13,10.128.53.36,10.128.53.2,12012,,1,Shiva,2024-12-07 13:57:37,C,Kondagaon,Keskal
965,Keshkal_Blue,Ring no.01,PRADHANCHERRA,SIDHAWAND,5.015,,Low,1489.0,1497.0,14,13,10.128.53.41,10.128.53.36,12013,,1,Shiva,2024-12-07 13:58:20,C,Kondagaon,Keskal
966,Keshkal_Blue,Ring no.01,SIDHAWAND,KOHKAMETA,3.025,,Low,1497.0,1465.0,14,13,10.128.53.27,10.128.53.41,12014,,1,Shiva,2024-12-07 13:59:45,C,Kondagaon,Keskal
967,Keshkal_Blue,Ring no.01,KOHKAMETA,SALEBHAT,18.775,,Low,1465.0,1495.0,14,13,10.128.53.39,10.128.53.27,"12015,12016",,1,Shiva,2024-12-07 14:00:17,C,Kondagaon,Keskal
968,Keshkal_Blue,Ring no.01,SALEBHAT,Keskal,34.68,,Low,1495.0,1369.0,14,85,10.128.0.49,10.128.53.39,"12019,12020",,1,Shiva,2024-11-19 10:32:04,C,Kondagaon,Keskal
969,Keshkal_Blue,Ring no.02,Keskal,JAMGAON,2.44,,Low,1369.0,1435.0,86,13,10.128.53.18,10.128.0.49,12010,,1,Shiva,2024-12-07 14:02:14,C,Kondagaon,Keskal
970,Keshkal_Blue,Ring no.02,JAMGAON,GOURGAON,18.28,,Low,1435.0,1423.0,14,13,10.128.53.15,10.128.53.18,"12011,12012,12013,12014,12015",,1,Shiva,2024-12-07 14:04:01,C,Kondagaon,Keskal
971,Keshkal_Blue,Ring no.02,GOURGAON,CHIPREL,15.76,,Low,1423.0,1407.0,14,13,10.128.53.10,10.128.53.15,"12016,12017",,1,Shiva,2024-12-07 14:05:27,C,Kondagaon,Keskal
972,Keshkal_Blue,Ring no.02,CHIPREL,KHALEMURWEND,20.81,,Low,1407.0,1443.0,14,13,10.128.53.24,10.128.53.10,12018,,1,Shiva,2024-12-07 14:06:43,C,Kondagaon,Keskal
973,Keshkal_Blue,Ring no.02,KHALEMURWEND,Keskal,15.92,,Low,1443.0,1369.0,14,87,10.128.0.49,10.128.53.24,12020,,1,Shiva,2024-12-07 14:56:52,C,Kondagaon,Keskal
974,Keshkal_Orange,Ring no.03,Keskal,NIRACHHINDLI,5.07,,Low,1369.0,1480.0,67,13,10.128.53.33,10.128.0.49,12022,,1,Shiva,2024-12-07 15:01:32,C,Kondagaon,Keskal
975,Keshkal_Orange,Ring no.03,NIRACHHINDLI,UNDARI,4.59,,Low,1480.0,1511.0,14,13,10.128.53.47,10.128.53.33,12023,,1,Shiva,2024-12-07 15:02:21,C,Kondagaon,Keskal
976,Keshkal_Orange,Ring no.03,UNDARI,BEDMA,5.39,,Low,1511.0,1389.0,14,13,10.128.53.7,10.128.53.47,12024,,1,Shiva,2024-12-07 15:06:33,C,Kondagaon,Keskal
977,Keshkal_Orange,Ring no.03,BEDMA,TOSKAPAL,3.47,,Low,1389.0,1508.0,14,13,10.128.53.45,10.128.53.7,12025,,1,Shiva,2024-12-07 15:07:34,C,Kondagaon,Keskal
978,Keshkal_Orange,Ring no.03,TOSKAPAL,GARAWANDI,7.172,,Low,1508.0,1415.0,14,13,10.128.53.14,10.128.53.45,12026,,1,Shiva,2024-12-07 15:08:12,C,Kondagaon,Keskal
979,Keshkal_Orange,Ring no.03,GARAWANDI,PIPRA,17.042,,Low,1415.0,1487.0,14,13,10.128.53.35,10.128.53.14,"12027,12028",,1,Shiva,2024-12-07 15:09:00,C,Kondagaon,Keskal
980,Keshkal_Orange,Ring no.03,PIPRA,MASUKOKODA,12.474,,Low,1487.0,1474.0,14,13,10.128.53.31,10.128.53.35,12029,,1,Shiva,2024-12-07 15:10:07,C,Kondagaon,Keskal
981,Keshkal_Orange,Ring no.03,MASUKOKODA,Keskal,23.712,,High,1474.0,1369.0,14,68,10.128.0.49,10.128.53.31,"12030,12031,12032,12033,12034",,1,Shiva,2024-12-07 15:10:58,C,Kondagaon,Keskal
982,Keshkal_Orange,Ring no.04,Keskal,SIKAGAON,28.148,,Low,1369.0,1499.0,69,13,10.128.53.42,10.128.0.49,"12022,12023,12024,12025,12026,12027",,1,Shiva,2024-12-07 15:12:44,C,Kondagaon,Keskal
983,Keshkal_Orange,Ring no.04,SIKAGAON,CHARBHATA,30.02,,Low,1499.0,1397.0,14,13,10.128.53.9,10.128.53.42,"12028,12029,12030",,1,Shiva,2024-12-07 15:13:41,C,Kondagaon,Keskal
984,Keshkal_Orange,Ring no.04,CHARBHATA,ARANDI,4.5,,High,1397.0,1379.0,14,13,10.128.53.3,10.128.53.9,12031,,1,Shiva,2024-12-07 15:14:55,C,Kondagaon,Keskal
985,Keshkal_Orange,Ring no.04,ARANDI,SINGANPUR,5.14,,High,1379.0,1502.0,14,13,10.128.53.43,10.128.53.3,12032,,1,Shiva,2024-12-07 15:18:37,C,Kondagaon,Keskal
986,Keshkal_Orange,Ring no.04,SINGANPUR,BATRALI,5.692,,High,1502.0,1381.0,14,13,10.128.53.6,10.128.53.43,12033,,1,Shiva,2024-12-07 15:19:46,C,Kondagaon,Keskal
987,Keshkal_Orange,Ring no.04,BATRALI,Keskal,2.028,,High,1381.0,1369.0,14,70,10.128.0.49,10.128.53.6,12034,,1,Shiva,2024-12-07 15:20:45,C,Kondagaon,Keskal
988,Keshkal_Blue,Ring no.02SPUR,JAMGAON,KODOBHAT,1.83,,Low,1435.0,1457.0,1,1,10.128.53.26,10.128.53.18,12021,,1,Shiva,2024-12-07 14:58:41,C,Kondagaon,Keskal
989,Keshkal_Orange,Ring no.04SPUR,SINGANPUR,AAWARI,3.59,,Low,1502.0,1371.0,1,1,10.128.53.1,10.128.53.43,12035,,1,Shiva,2024-12-07 15:22:09,C,Kondagaon,Keskal
998,DURGKONDAL_Blue,Ring no.01,Durgkondal,SADHUMICHAGAON,12.817,,Low,1527.0,1538.0,83,13,10.128.94.31,10.128.0.85,12036,,1,Mukesh,2025-01-31 15:39:48,C,Uttar Bastar Kanker,Durgkondal
